,indicators,geocd,values
0,1767,1757,9943
1,1767,10,56
2,1767,0,0
3,1767,13,73
4,1767,21,118
5,1767,19,107
6,1767,18,101
7,1767,12,67
8,1767,16,90
9,1767,17,96
10,1767,26,147
11,1767,15,84
12,1767,17,96
13,1767,21,118
14,1767,23,130
15,1767,23,130
16,1767,21,118
17,1767,17,96
18,1767,27,152
19,1767,24,135
20,1767,26,147
21,1767,28,158
22,1767,23,130
23,1767,24,135
24,1767,14,79
25,1767,19,107
26,1767,11,62
27,1767,17,96
28,1767,28,158
29,1767,25,141
30,1767,22,124
31,1767,16,90
32,1767,19,107
33,1767,25,141
34,1767,14,79
35,1767,19,107
36,1767,19,107
37,1767,18,101
38,1767,19,107
39,1767,24,135
40,1767,29,164
41,1767,31,175
42,1767,29,164
43,1767,33,186
44,1767,30,169
45,1767,19,107
46,1767,24,135
47,1767,20,113
48,1767,32,181
49,1767,26,147
50,1767,21,118
51,1767,18,101
52,1767,23,130
53,1767,31,175
54,1767,30,169
55,1767,20,113
56,1767,24,135
57,1767,24,135
58,1767,16,90
59,1767,18,101
60,1767,17,96
61,1767,19,107
62,1767,23,130
63,1767,20,113
64,1767,32,181
65,1767,28,158
66,1767,39,220
67,1767,28,158
68,1767,19,107
69,1767,18,101
70,1767,19,107
71,1767,26,147
72,1767,24,135
73,1767,13,73
74,1767,20,113
75,1767,12,67
76,1767,11,62
77,1767,17,96
78,1767,21,118
79,1767,13,73
80,1767,9,50
81,1767,9,50
82,1767,7,39
83,1767,14,79
84,1767,8,45
85,1767,18,101
86,1767,5,28
87,1767,11,62
88,1767,3,16
89,1767,6,33
90,1767,4,22
91,1767,5,28
92,1767,2,11
93,1767,1,5
94,1767,4,22
95,1767,2,11
96,1767,1,5
97,1767,0,0
98,1767,0,0
99,1767,0,0
100,1767,1,5
101,1767,0,0
102,1767,0,0
103,1767,0,0
104,1767,877,4963
105,1767,890,5036
106,9,2,2222
107,9,7,7777
108,1767,1722,9745
109,1767,42,237
110,1767,3,16
111,1451,859,5920
112,1451,684,4713
113,1451,154,1061
114,1451,21,144
115,1451,592,4079
116,1451,330,2274
117,1451,12,82
118,1451,36,248
119,1451,113,778
120,1451,101,696
121,1451,185,1274
122,1451,77,530
123,1451,108,744
124,1451,202,1392
125,1451,107,737
126,1451,65,447
127,1451,23,158
128,1451,5,34
129,1451,2,13
130,1451,502,3459
131,1451,249,1716
132,1451,37,254
133,1451,86,592
134,1451,94,647
135,1451,36,248
136,1451,239,1647
137,1451,33,227
138,1451,193,1330
139,1451,13,89
140,1451,179,1233
141,1451,39,268
142,1451,138,951
143,1451,2,13
144,1451,144,992
145,1451,66,454
146,1451,78,537
147,766,114,1488
148,766,27,352
149,766,26,339
150,766,61,796
151,766,292,3812
152,766,50,652
153,766,92,1201
154,766,150,1958
155,766,132,1723
156,766,33,430
157,766,89,1161
158,766,10,130
159,766,228,2976
160,766,105,1370
161,766,121,1579
162,766,2,26
163,1757,215,1223
164,1757,105,597
165,1757,110,626
166,1757,1439,8190
167,1757,130,739
168,1757,824,4689
169,1757,196,1115
170,1757,146,830
171,1757,273,1553
172,1757,209,1189
173,1757,0,0
174,1757,0,0
175,1757,0,0
176,1757,0,0
177,1757,0,0
178,1757,213,1212
179,1757,74,421
180,1757,75,426
181,1757,48,273
182,1757,16,91
183,1757,272,1548
184,1757,81,461
185,1757,115,654
186,1757,76,432
187,1757,103,586
188,1757,28,159
189,1757,13,73
190,1757,0,0
191,1757,2,11
192,1757,60,341
193,766,215,2806
194,766,105,1370
195,766,110,1436
196,766,519,6775
197,766,65,848
198,766,270,3524
199,766,98,1279
200,766,44,574
201,766,62,809
202,766,66,861
203,766,0,0
204,766,0,0
205,766,0,0
206,766,0,0
207,766,0,0
208,766,78,1018
209,766,37,483
210,766,24,313
211,766,12,156
212,766,5,65
213,766,106,1383
214,766,37,483
215,766,34,443
216,766,35,456
217,766,32,417
218,766,7,91
219,766,3,39
220,766,0,0
221,766,1,13
222,766,21,274
223,1757,215,1223
224,1757,105,597
225,1757,110,626
226,1757,1542,8776
227,1757,134,762
228,1757,218,1240
229,1757,332,1889
230,1757,268,1525
231,1757,52,295
232,1757,180,1024
233,1757,358,2037
234,766,215,2806
235,766,105,1370
236,766,110,1436
237,766,551,7193
238,766,52,678
239,766,109,1422
240,766,96,1253
241,766,134,1749
242,766,10,130
243,766,40,522
244,766,110,1436
245,766,215,2806
246,766,108,1409
247,766,234,3054
248,766,0,0
249,766,0,0
250,766,36,469
251,766,50,652
252,766,76,992
253,766,35,456
254,766,0,0
255,766,12,156
256,1078,176,1632
257,1078,902,8367
258,544,321,5900
259,544,29,533
260,544,33,606
261,544,51,937
262,544,29,533
263,544,36,661
264,544,21,386
265,544,11,202
266,544,10,183
267,544,3,55
268,544,364,6691
269,766,271,3537
270,766,257,3355
271,766,194,2532
272,766,43,561
273,766,1,13
274,1767,1691,9569
275,1767,3,16
276,1767,0,0
277,1767,35,198
278,1767,12,67
279,1767,0,0
280,1767,3,16
281,1767,0,0
282,1767,3,16
283,1767,0,0
284,1767,0,0
285,1767,7,39
286,1767,4,22
287,1767,1,5
288,1767,1,5
289,1767,0,0
290,1767,1,5
291,1767,6,33
292,1767,1729,9784
293,1767,15,84
294,1767,14,79
295,1767,2,11
296,1767,7,39
297,766,215,2806
298,766,524,6840
299,766,10,130
300,766,13,169
301,766,4,52
302,1767,1742,9858
303,1767,1704,9643
304,1767,128,724
305,1767,3,16
306,1767,7,39
307,1767,1566,8862
308,1767,0,0
309,1767,0,0
310,1767,0,0
311,1767,1,5
312,1767,0,0
313,1767,0,0
314,1767,4,22
315,1767,33,186
316,1767,8,45
317,1767,1,5
318,1767,0,0
319,1767,0,0
320,1767,0,0
321,1767,0,0
322,1767,7,39
323,1767,1,5
324,1767,0,0
325,1767,5,28
326,1767,0,0
327,1767,1,5
328,1767,0,0
329,1767,13,73
330,1767,1,5
331,1767,0,0
332,1767,1,5
333,1767,6,33
334,1767,2,11
335,1767,4,22
336,1767,0,0
337,1767,4,22
338,1767,0,0
339,1767,3,16
340,1767,0,0
341,1767,1,5
342,1767,0,0
343,1767,2,11
344,1767,0,0
345,1767,2,11
346,1767,0,0
347,1767,2,11
348,1767,1,5
349,1767,0,0
350,1767,1,5
351,1767,0,0
352,1767,0,0
353,1767,1,5
354,1767,0,0
355,1767,1,5
356,1767,2,11
357,1767,0,0
358,1767,2,11
359,1767,1,5
360,1767,1,5
361,1767,0,0
362,1767,0,0
363,1714,1691,9865
364,1714,0,0
365,1714,1,5
366,1714,1,5
367,1714,0,0
368,1714,0,0
369,1714,0,0
370,1714,0,0
371,1714,0,0
372,1714,0,0
373,1714,0,0
374,1714,0,0
375,1714,0,0
376,1714,12,70
377,1714,3,17
378,1714,0,0
379,1714,5,29
380,1714,0,0
381,1714,0,0
382,1714,4,23
383,1714,0,0
384,1714,0,0
385,1714,0,0
386,1714,0,0
387,1714,0,0
388,1714,0,0
389,1714,0,0
390,1714,0,0
391,1714,0,0
392,1714,0,0
393,1714,0,0
394,1714,0,0
395,1714,0,0
396,1714,0,0
397,1714,0,0
398,1714,0,0
399,1714,0,0
400,1714,0,0
401,1714,0,0
402,1714,0,0
403,1714,0,0
404,1714,0,0
405,1714,1,5
406,1714,2,11
407,1714,1,5
408,1714,0,0
409,1714,0,0
410,1714,0,0
411,1714,0,0
412,1714,0,0
413,1714,0,0
414,1714,0,0
415,1714,0,0
416,1714,0,0
417,1714,0,0
418,1714,0,0
419,1714,0,0
420,1714,0,0
421,1714,0,0
422,1714,0,0
423,1714,0,0
424,1714,0,0
425,1714,0,0
426,1714,0,0
427,1714,0,0
428,1714,6,35
429,1714,0,0
430,1714,2,11
431,1714,3,17
432,1714,0,0
433,1714,0,0
434,1714,1,5
435,1714,0,0
436,1714,0,0
437,1714,0,0
438,1714,0,0
439,1714,0,0
440,1714,0,0
441,1714,0,0
442,1714,0,0
443,1714,0,0
444,1714,0,0
445,1714,0,0
446,1714,0,0
447,1714,0,0
448,1714,0,0
449,1714,0,0
450,1714,0,0
451,1714,0,0
452,1714,0,0
453,1714,0,0
454,1714,0,0
455,1714,0,0
456,1714,0,0
457,1714,0,0
458,1714,0,0
459,1714,0,0
460,1714,0,0
461,1714,0,0
462,1714,0,0
463,1714,0,0
464,1714,0,0
465,1714,1691,9865
466,1714,8,46
467,1714,11,64
468,1714,4,23
469,1714,0,0
470,1767,911,5155
471,1767,0,0
472,1767,0,0
473,1767,0,0
474,1767,3,16
475,1767,2,11
476,1767,11,62
477,1767,725,4102
478,1767,115,650
479,1767,911,5155
480,1767,0,0
481,1767,0,0
482,1767,0,0
483,1767,3,16
484,1767,2,11
485,1767,11,62
486,1767,0,0
487,1767,0,0
488,1767,0,0
489,1767,0,0
490,1767,0,0
491,1767,0,0
492,1767,0,0
493,1767,0,0
494,1767,0,0
495,1767,0,0
496,1767,0,0
497,1767,0,0
498,1767,0,0
499,1767,0,0
500,1767,0,0
501,1767,0,0
502,1767,0,0
503,1767,0,0
504,1767,0,0
505,1767,3,16
506,1767,0,0
507,1767,0,0
508,1767,0,0
509,1767,0,0
510,1767,0,0
511,1767,0,0
512,1767,0,0
513,1767,0,0
514,1767,0,0
515,1767,7,39
516,1767,0,0
517,1767,0,0
518,1767,0,0
519,1767,0,0
520,1767,0,0
521,1767,0,0
522,1767,0,0
523,1767,0,0
524,1767,0,0
525,1767,0,0
526,1767,1,5
527,1767,725,4102
528,1767,723,4091
529,1767,0,0
530,1767,0,0
531,1767,0,0
532,1767,0,0
533,1767,0,0
534,1767,2,11
535,1767,0,0
536,1767,115,650
537,1767,1691,9569
538,1767,3,16
539,1767,0,0
540,1767,0,0
541,1767,0,0
542,1767,0,0
543,1767,0,0
544,1767,1,5
545,1767,0,0
546,1767,0,0
547,1767,0,0
548,1767,0,0
549,1767,0,0
550,1767,0,0
551,1767,0,0
552,1767,1,5
553,1767,0,0
554,1767,0,0
555,1767,0,0
556,1767,0,0
557,1767,6,33
558,1767,0,0
559,1767,0,0
560,1767,0,0
561,1767,0,0
562,1767,0,0
563,1767,5,28
564,1767,0,0
565,1767,0,0
566,1767,0,0
567,1767,0,0
568,1767,0,0
569,1767,0,0
570,1767,0,0
571,1767,0,0
572,1767,0,0
573,1767,0,0
574,1767,0,0
575,1767,0,0
576,1767,0,0
577,1767,7,39
578,1767,0,0
579,1767,0,0
580,1767,0,0
581,1767,2,11
582,1767,0,0
583,1767,0,0
584,1767,0,0
585,1767,0,0
586,1767,0,0
587,1767,0,0
588,1767,0,0
589,1767,0,0
590,1767,0,0
591,1767,0,0
592,1767,0,0
593,1767,0,0
594,1767,0,0
595,1767,13,73
596,1767,12,67
597,1767,0,0
598,1767,3,16
599,1767,0,0
600,1767,0,0
601,1767,0,0
602,1767,0,0
603,1767,0,0
604,1767,0,0
605,1767,0,0
606,1767,0,0
607,1767,0,0
608,1767,0,0
609,1767,0,0
610,1767,0,0
611,1767,0,0
612,1767,0,0
613,1767,0,0
614,1767,0,0
615,1767,0,0
616,1767,0,0
617,1767,0,0
618,1767,0,0
619,1767,0,0
620,1767,0,0
